auction_id;auction_name;auction_country;country_isocode;startdate;closedate;onlinedate;is_private;is_active;is_homedelivery;is_public;open_for_bidding;is_closed;sourcing_company
46003;Dagaanbiedingen donderdagavond;Netherlands;nl;2020-02-26;2020-02-27;;0;0;1;;0;1;3rdpartydailyspecials
45058;Bouwmaterialen en doe het zelf te Amersfoort;Netherlands;nl;2020-02-22;2020-02-28;;0;0;0;;0;1;bva
45107;GEGUND Middelburg, De Ruyterstraat 91;Netherlands;nl;2020-01-24;2020-01-24;;0;0;0;;0;1;nvv
46164;Consumentengoederen (Domeinen Roerende Zaken) te Amersfoort;Netherlands;nl;2020-02-17;2020-02-23;;0;0;0;;0;1;bva
44184;Winterkleding en schoenen;Netherlands;nl;2020-01-07;2020-01-11;;0;0;1;;0;1;bva
44857;Rustic land Los Tulipanes in Sotogrande, Cádiz (Spain);Netherlands;nl;2020-01-24;2020-02-25;;0;0;0;;0;1;bva
45877;Faillissement Juwelier Herman Schipper (zilverwerk);Netherlands;nl;2020-02-12;2020-02-19;;0;0;1;;0;1;art
44634;ONDERHANDS VERKOCHT -       Amsterdam, Lou Jansenplein  50 H;Netherlands;nl;2020-02-13;2020-02-13;;0;0;0;;0;1;nvv
45402;Exclusieve auto’s & Oldtimers te Boxmeer;Netherlands;nl;2020-01-21;2020-01-28;;0;0;0;;0;1;bva
45002;Motoren en scooters te Amersfoort;Netherlands;nl;2020-02-20;2020-02-26;;0;0;0;;0;1;bva
45561;Moderne schilderijen en zeefdrukken te Amersfoort;Netherlands;nl;2020-02-09;2020-02-16;;0;0;0;;0;1;art
46060;Ex-lease auto’s te Apeldoorn;Netherlands;nl;2020-02-17;2020-02-25;;0;0;0;;0;1;bva
45012;Partijen led verlichting en beveiligingscamera’s;Netherlands;nl;2020-02-12;2020-02-16;;0;0;1;;0;1;bva
45049;Alles voor de Doe-het-zelver;Netherlands;nl;2020-02-04;2020-02-12;;0;0;1;;0;1;bva
43291;Nootdorp, Zonnehof 5;Netherlands;nl;2020-01-24;2020-01-24;;0;1;0;;0;1;nvv
45907;The daily vintage market (wed);Netherlands;nl;2020-02-12;2020-02-19;;0;0;1;;0;1;art
44215;Foutieve veiling;Netherlands;nl;2020-02-11;2020-02-11;;0;1;0;;0;1;nvv
45036;Gereedschap en consumentengoederen te Budel;Netherlands;nl;2019-12-31;2020-01-08;;0;0;0;;0;1;bva
45437;TEST ATLAS BEZORG 0901 (TEST);Netherlands;nl;2020-02-01;2020-03-01;;0;1;1;;0;1;bva
45112;BVA Top lots - Retourgoederen van o.a HP, GoPro, Bosch & Harman Kardon;Netherlands;nl;2020-01-04;2020-01-09;;0;0;1;;0;1;bva
45326;Woninginrichting;Netherlands;nl;2020-02-19;2020-02-26;;0;0;1;;0;1;bva
44704;Restaurant inventaris te De Bilt;Netherlands;nl;2019-12-23;2020-01-02;;0;0;0;;0;1;bva
45941;Metaalbewerkings fabrikant (afdeling electrowagens) te Hoogvliet;Netherlands;nl;2020-02-03;2020-02-19;;0;0;0;;0;1;bva
45351;Alles voor Dieren;Netherlands;nl;2020-02-01;2020-02-09;;0;0;1;;0;1;bva
45681;Keukens en apparatuur op diverse locaties;Netherlands;nl;2020-02-08;2020-02-20;;0;0;0;;0;1;bva
45154;Postzegels, biljetten, gouden en zilveren munten;Netherlands;nl;2020-01-06;2020-01-16;;0;0;1;;0;1;art
45554;Boten te Leiden;Netherlands;nl;2020-02-07;2020-02-19;;0;0;0;;0;1;bva
45910;The daily vintage market (sat);Netherlands;nl;2020-02-15;2020-02-22;;0;0;1;;0;1;art
45763;Doe-het-zelf, lifestyle en tuinaccessoires;Netherlands;nl;2020-02-08;2020-02-16;;0;0;1;;0;1;bva
45113;BVA Top lots - Retourgoederen van o.a Domyos, Acer, Bosch & Harman Kardon;Netherlands;nl;2020-01-08;2020-01-12;;0;0;1;;0;1;bva
45322;Woninginrichting;Netherlands;nl;2020-01-22;2020-01-29;;0;0;1;;0;1;bva
45222;Retourgoederen van o.a. KitchenAid, Kave Home & Brantia te Hillegom;Netherlands;nl;2020-01-18;2020-01-24;;0;0;0;;0;1;bva
45913;The daily vintage market (tue);Netherlands;nl;2020-02-18;2020-02-25;;0;0;1;;0;1;art
44541;TESTVEILING Amersfoort, Kryptonweg 8;Netherlands;nl;2020-01-25;2020-01-25;;0;1;0;;0;1;nvv
44641;Tuin en terras;Netherlands;nl;2020-01-04;2020-01-12;;0;0;1;;0;1;bva
45270;Witgoed, elektrische apparatuur en huishoudelijke benodigdheden te Etten-Leur (JP van der Heijden);Netherlands;nl;2020-01-04;2020-01-15;;0;0;0;;0;1;bva
46337;Biljetten & Munten;Netherlands;nl;2020-02-20;2020-02-27;;0;0;1;;0;1;art
43843;A-merk E-bikes en partijen van o.a. Stella, Amslod & Sparta te Leiden;Netherlands;nl;2019-12-28;2020-01-03;;0;0;0;;0;1;bva
45233;Parketvloeren te Utrecht;Netherlands;nl;2020-01-23;2020-01-30;;0;0;0;;0;1;bva
45387;Schilderijen, tekeningen en grafiek uit diverse bedrijfscollecties;Netherlands;nl;2020-01-11;2020-01-19;;0;0;0;;0;1;art
44684;Legervoertuigen van Defensie (i.o.v. Domeinen Roerende zaken) te Almelo;Netherlands;nl;2019-12-13;2020-01-13;;0;0;0;;0;1;bva
45106;Kunst-, Antiek- en Inboedelveiling Notarishuis Arnhem;Netherlands;nl;2020-01-24;2020-02-03;;0;0;0;;0;1;art
45037;Gereedschap en consumentengoederen te Budel;Netherlands;nl;2020-01-28;2020-02-05;;0;0;0;;0;1;bva
45062;A-merk e-bikes en partijen van o.a. Stella, Sparta & Amslod te Amersfoort;Netherlands;nl;2020-01-25;2020-01-31;;0;0;0;;0;1;bva
44166;Kleding, horloges en schoenen voor dames van o.a. Michael Kors, Dr. Martens en Guess;Netherlands;nl;2020-01-07;2020-01-12;;0;0;1;;0;1;bva
45398;Posters vintage - film - cityview - reclame;Netherlands;nl;2020-01-11;2020-01-19;;0;0;1;;0;1;art
45955;Exclusieve wijnen te Amersfoort;Netherlands;nl;2020-02-15;2020-02-22;;0;0;0;;0;1;art
41098;GEANNULEERD -       Emmen, Dillingecamp  22;Netherlands;nl;2020-01-21;2020-01-21;;0;1;0;;0;1;nvv
45350;Dieren en toebehoren;Netherlands;nl;2020-01-18;2020-01-26;;0;0;1;;0;1;bva
45467;Dagaanbiedingen maandagmiddag;Netherlands;nl;2020-02-02;2020-02-03;;0;0;1;;0;1;3rdpartydailyspecials
45912;The daily vintage market (mon);Netherlands;nl;2020-02-17;2020-02-24;;0;0;1;;0;1;art
46074;Sanitair en installatiemateriaal te Ede;Netherlands;nl;2020-02-18;2020-02-27;;0;0;0;;0;1;bva
46133;Partij kantoormeubilair (Domeinen Roerende Zaken) Haulerwijk;Netherlands;nl;2020-02-13;2020-02-25;;0;0;0;;0;1;bva
45101;Professionele catering- en koelapparatuur te Amersfoort;Netherlands;nl;2020-01-08;2020-01-27;;0;0;0;;0;1;bva
43794;Rotterdam, Binnenrotte 129;Netherlands;nl;2020-01-24;2020-01-24;;0;0;0;;0;1;bog
44828;(F) Executieveiling Abanoglu Holding te Amersfoort (Belastingdienst);Netherlands;nl;2019-12-16;2020-01-06;;0;0;0;;0;1;bva
45095;Executieveiling horloges en sieraden van o.a. Rolex, IWC & Chopard;Netherlands;nl;2020-01-07;2020-01-13;;0;0;1;;0;1;art
44657;Bruce Roberts 45 Center Cockpit Ketch;Netherlands;nl;2020-02-11;2020-02-25;;0;1;0;;0;1;bva
45323;Alles voor wonen;Netherlands;nl;2020-01-29;2020-02-05;;0;0;1;;0;1;bva
45945;Faillissement Tyme beheer (trampolinepark) te Apeldoorn;Netherlands;nl;2020-02-05;2020-02-17;;0;0;0;;0;1;bva
44380;Ede, Zonneoordlaan  47A (Kavel 24);Netherlands;nl;2020-02-18;2020-02-18;;0;0;0;;0;1;nvv
43173;First diamonds of the year 2020;Netherlands;nl;2019-12-18;2020-01-04;;0;0;1;;0;1;art
45615;Used Jewels and Watches;Netherlands;nl;2020-02-10;2020-02-17;;0;0;1;;0;1;art
45214;Hekwerk en carports te Nederweert;Netherlands;nl;2020-01-13;2020-01-23;;0;0;0;;0;1;bva
45423;Apeldoorn, Nieuwstraat 287 B;Netherlands;nl;2020-02-19;2020-02-19;;0;0;0;;0;1;nvv
45853;Dagaanbiedingen woensdagmiddag;Netherlands;nl;2020-02-18;2020-02-19;;0;0;1;;0;1;3rdpartydailyspecials
45218;Zeefdrukken en moderne schilderijen te Amersfoort;Netherlands;nl;2020-01-07;2020-01-14;;0;0;0;;0;1;art
46095;Faillissement FinHill Holding te Hilversum;Netherlands;nl;2020-02-10;2020-02-18;;0;0;0;;0;1;bva
44924;Winkelinventaris, kledingrekken, kantoormeubilair te Papendrecht;Netherlands;nl;2020-01-17;2020-01-30;;0;0;0;;0;1;bva
