AUCTIONID,AUCTIONSTARTDATE,AUCTIONENDDATE,LOTMINSTARTDATE,LOTMAXSTARTDATE,LOTMINENDDATE,LOTMAXENDDATE,BIDRANGENAME
45801,14-02-2020 05:01:00,18-02-2020 08:00:00,14-02-2020 05:01:00,14-02-2020 05:01:00,18-02-2020 08:00:00,18-02-2020 09:30:00,nl Top Lots
45807,21-02-2020 05:01:00,26-02-2020 08:00:00,21-02-2020 05:01:00,21-02-2020 05:01:00,26-02-2020 08:00:00,26-02-2020 09:41:00,nl Top Lots
45808,22-02-2020 05:01:00,27-02-2020 08:15:00,22-02-2020 05:01:00,22-02-2020 05:01:00,27-02-2020 08:15:00,27-02-2020 10:11:00,nl Top Lots
45843,17-02-2020 11:00:00,18-02-2020 09:01:00,17-02-2020 11:00:00,17-02-2020 11:00:00,18-02-2020 09:00:00,19-02-2020 12:03:00,nl 1 Euro stappen
45875,05-02-2020 12:00:00,12-02-2020 07:00:00,05-02-2020 12:00:00,05-02-2020 12:00:00,12-02-2020 07:00:00,12-02-2020 08:37:00,de Standard en Standard nl Standaard biedranges
45911,16-02-2020 12:00:00,23-02-2020 07:15:00,16-02-2020 12:00:00,16-02-2020 12:00:00,23-02-2020 07:02:00,23-02-2020 09:52:00,de Standard en Standard nl Standaard biedranges
45934,16-02-2020 12:00:00,23-02-2020 10:02:00,16-02-2020 12:00:00,16-02-2020 12:00:00,23-02-2020 10:02:00,23-02-2020 12:28:00,de Standard en Standard nl Standaard biedranges
46004,27-02-2020 11:00:00,28-02-2020 09:01:00,27-02-2020 11:00:00,27-02-2020 11:00:00,28-02-2020 09:01:00,28-02-2020 11:54:00,nl 1 Euro stappen
46009,27-02-2020 02:00:00,28-02-2020 11:00:00,27-02-2020 02:00:00,27-02-2020 02:00:00,28-02-2020 11:00:00,28-02-2020 05:28:00,nl 1 Euro stappen
46119,15-02-2020 09:00:00,26-02-2020 06:00:00,15-02-2020 09:00:00,15-02-2020 09:00:00,26-02-2020 06:05:00,26-02-2020 07:55:00,de Standard en Standard nl Standaard biedranges
46316,26-02-2020 05:01:00,01-03-2020 04:00:00,26-02-2020 05:01:00,26-02-2020 05:01:00,01-03-2020 04:00:00,01-03-2020 08:45:00,de Standard en Standard nl Standaard biedranges
41752,24-12-2019 05:00:00,01-01-2020 07:00:00,24-12-2019 05:00:00,24-12-2019 05:00:00,01-01-2020 07:00:00,02-01-2020 01:38:00,de Standard en Standard nl Standaard biedranges
43437,21-01-2020 10:30:00,21-01-2020 12:45:00,21-01-2020 10:30:00,21-01-2020 10:30:00,21-01-2020 11:39:00,21-01-2020 11:39:00,nl Per 1000 ophogen
43504,11-02-2020 03:00:00,11-02-2020 05:15:00,11-02-2020 03:00:00,11-02-2020 03:00:00,11-02-2020 03:39:00,11-02-2020 03:39:00,nl Per 1000 ophogen
43613,28-01-2020 10:30:00,28-01-2020 10:45:00,28-01-2020 10:30:00,28-01-2020 10:30:00,28-01-2020 10:45:00,28-01-2020 10:45:00,nl Vastgoed Standaard biedranges
44045,04-02-2020 10:30:00,04-02-2020 10:45:00,04-02-2020 10:30:00,04-02-2020 10:30:00,04-02-2020 10:45:00,04-02-2020 10:45:00,nl Per 1000 ophogen
44502,11-02-2020 04:30:00,11-02-2020 06:45:00,11-02-2020 04:30:00,11-02-2020 04:30:00,11-02-2020 04:57:00,11-02-2020 04:57:00,nl Per 1000 ophogen
44644,25-01-2020 05:00:00,02-02-2020 06:45:00,25-01-2020 05:00:00,25-01-2020 05:00:00,02-02-2020 06:01:00,02-02-2020 09:19:00,de Standard en Standard nl Standaard biedranges
44737,23-02-2020 09:00:00,29-02-2020 07:15:00,23-02-2020 09:00:00,23-02-2020 09:00:00,29-02-2020 07:02:00,01-03-2020 03:40:00,de Standard en Standard nl Standaard biedranges
44768,29-12-2019 12:00:00,05-01-2020 07:02:00,29-12-2019 12:00:00,29-12-2019 12:00:00,05-01-2020 07:02:00,05-01-2020 07:02:00,de Standard en Standard nl Standaard biedranges
44883,17-01-2020 05:00:00,29-01-2020 07:00:00,17-01-2020 05:00:00,17-01-2020 05:00:00,29-01-2020 07:00:00,29-01-2020 08:30:00,de Standard en Standard nl Standaard biedranges
44885,04-01-2020 09:00:00,13-01-2020 08:00:00,04-01-2020 09:00:00,04-01-2020 09:00:00,13-01-2020 08:05:00,13-01-2020 09:39:00,de Standard en Standard nl Standaard biedranges
44943,25-12-2019 05:00:00,07-01-2020 07:30:00,25-12-2019 05:00:00,25-12-2019 05:00:00,07-01-2020 07:01:00,07-01-2020 09:13:00,de Standard en Standard nl Standaard biedranges
45001,06-02-2020 05:00:00,12-02-2020 07:45:00,06-02-2020 05:00:00,06-02-2020 05:00:00,12-02-2020 07:45:00,12-02-2020 08:46:00,de Standard en Standard nl Standaard biedranges
45027,19-12-2019 05:00:00,07-01-2020 07:00:00,19-12-2019 05:00:00,19-12-2019 05:00:00,07-01-2020 07:10:00,07-01-2020 07:10:00,de Standard en Standard nl Standaard biedranges
45057,25-01-2020 09:00:00,31-01-2020 06:30:00,25-01-2020 09:00:00,25-01-2020 09:00:00,31-01-2020 06:30:00,31-01-2020 11:44:00,de Standard en Standard nl Standaard biedranges
45078,29-01-2020 09:30:00,29-01-2020 09:45:00,29-01-2020 09:30:00,29-01-2020 09:30:00,29-01-2020 09:45:00,29-01-2020 09:45:00,nl Per 1000 ophogen
45099,21-01-2020 05:00:00,26-01-2020 07:45:00,21-01-2020 05:00:00,21-01-2020 05:00:00,26-01-2020 07:45:00,26-01-2020 11:51:00,de Standard en Standard nl Standaard biedranges
45164,12-01-2020 12:00:00,19-01-2020 07:30:00,12-01-2020 12:00:00,12-01-2020 12:00:00,19-01-2020 07:34:00,19-01-2020 09:47:00,de Standard en Standard nl Standaard biedranges
45177,24-12-2019 12:00:00,09-01-2020 03:00:00,24-12-2019 12:00:00,24-12-2019 12:00:00,09-01-2020 03:00:00,09-01-2020 04:06:00,de Standard en Standard nl Standaard biedranges
45180,14-01-2020 11:00:00,15-01-2020 09:01:00,14-01-2020 11:00:00,14-01-2020 11:00:00,15-01-2020 09:00:00,15-01-2020 11:55:00,nl 1 Euro stappen
45185,14-01-2020 02:00:00,15-01-2020 11:00:00,14-01-2020 02:00:00,14-01-2020 02:00:00,15-01-2020 11:01:00,15-01-2020 05:09:00,nl 1 Euro stappen
45191,18-01-2020 11:00:00,19-01-2020 06:00:00,18-01-2020 11:00:00,18-01-2020 11:00:00,19-01-2020 06:00:00,20-01-2020 12:17:00,nl 1 Euro stappen
45198,25-01-2020 05:00:00,31-01-2020 04:00:00,25-01-2020 05:00:00,25-01-2020 05:00:00,31-01-2020 04:01:00,31-01-2020 06:58:00,de Standard en Standard nl Standaard biedranges
45209,06-02-2020 05:00:00,14-02-2020 06:45:00,06-02-2020 05:00:00,06-02-2020 05:00:00,14-02-2020 06:45:00,14-02-2020 09:00:00,de Standard en Standard nl Standaard biedranges
45210,13-01-2020 05:00:00,22-01-2020 07:00:00,13-01-2020 05:00:00,22-01-2020 08:19:00,22-01-2020 07:00:00,22-01-2020 08:34:00,de Standard en Standard nl Standaard biedranges
45213,31-01-2020 05:00:00,08-02-2020 07:15:00,31-01-2020 05:00:00,31-01-2020 05:00:00,08-02-2020 07:01:00,08-02-2020 09:26:00,de Standard en Standard nl Standaard biedranges
45258,19-01-2020 02:00:00,20-01-2020 11:00:00,19-01-2020 02:00:00,19-01-2020 02:00:00,20-01-2020 11:00:00,20-01-2020 05:12:00,nl 1 Euro stappen
45260,21-01-2020 02:00:00,22-01-2020 11:00:00,21-01-2020 02:00:00,21-01-2020 02:00:00,22-01-2020 11:00:00,22-01-2020 05:19:00,nl 1 Euro stappen
45269,04-01-2020 05:00:00,14-01-2020 08:01:00,04-01-2020 05:00:00,04-01-2020 05:00:00,14-01-2020 08:30:00,14-01-2020 09:09:00,de Standard en Standard nl Standaard biedranges
45278,19-01-2020 12:00:00,27-01-2020 11:30:00,19-01-2020 12:00:00,19-01-2020 12:00:00,27-01-2020 11:32:00,27-01-2020 02:21:00,de Standard en Standard nl Standaard biedranges
45300,07-01-2020 05:00:00,15-01-2020 06:00:00,07-01-2020 05:00:00,07-01-2020 05:00:00,15-01-2020 06:00:00,15-01-2020 06:28:00,de Standard en Standard nl Standaard biedranges
45324,05-02-2020 05:00:00,12-02-2020 06:00:00,05-02-2020 05:00:00,05-02-2020 05:00:00,12-02-2020 04:04:00,13-02-2020 12:53:00,de Standard en Standard nl Standaard biedranges
45343,21-01-2020 05:00:00,25-01-2020 05:00:00,21-01-2020 05:00:00,21-01-2020 05:00:00,26-01-2020 04:00:00,26-01-2020 06:34:00,nl Biedrange 0-15 1 euro (Beuknoot)
45439,31-01-2020 05:00:00,17-02-2020 03:00:00,31-01-2020 05:00:00,31-01-2020 05:00:00,17-02-2020 03:01:00,17-02-2020 05:28:00,de Standard en Standard nl Standaard biedranges
45457,17-01-2020 05:00:00,27-01-2020 02:30:00,17-01-2020 05:00:00,27-01-2020 04:00:00,27-01-2020 02:30:00,27-01-2020 04:56:00,de Standard en Standard nl Standaard biedranges
45462,02-02-2020 11:00:00,03-02-2020 09:01:00,02-02-2020 11:00:00,02-02-2020 11:00:00,03-02-2020 09:01:00,04-02-2020 12:21:00,nl 1 Euro stappen
45468,03-02-2020 02:00:00,04-02-2020 11:00:00,03-02-2020 02:00:00,03-02-2020 02:00:00,04-02-2020 11:00:00,04-02-2020 05:37:00,nl 1 Euro stappen
45482,18-01-2020 05:01:00,25-01-2020 05:15:00,18-01-2020 05:01:00,18-01-2020 05:01:00,25-01-2020 05:01:00,26-01-2020 01:05:00,de Standard en Standard nl Standaard biedranges
